Adhésion active ?;Adhérent depuis;Adhérent jusqu'au;Début de l'adhésion actuelle;Fin de l'adhésion actuelle;Ville;Code postal;Pays;Membre d'un second parti ?;A effectué la visio d'accueil ?;Statut;;;;
Non;13/09/2023;12/09/2024;;;Dieulefit;26220;FR;Non;Non;Adhésion expirée;;;;
Non;04/10/2023;03/10/2024;;;Romans-sur-Isère;26100;FR;Non;Non;Adhésion expirée;;;;
Oui;20/12/2023;19/12/2024;20/12/2023;19/12/2024;Le Grand-Serre;26530;FR;Non;Non;Adhésion à jour;;;;
Oui;12/03/2024;11/03/2025;12/03/2024;11/03/2025;Tain-l'Hermitage;26600;FR;Non;Non;Adhésion à jour;;;;
Oui;06/10/2024;05/10/2025;06/10/2024;05/10/2025;Nyons;26110;FR;Non;Non;Première adhésion de moins d'un mois;;;;
Oui;06/07/2024;05/07/2025;06/07/2024;05/07/2025;Montélimar;26200;FR;Non;Non;Adhésion à jour;;;;
Non;25/09/2023;24/09/2024;;;Montélimar;26200;FR;Non;Non;Adhésion expirée;;;;
Oui;22/04/2024;21/04/2025;22/04/2024;21/04/2025;Chabrillan;26400;FR;Non;Non;Adhésion à jour;;;;
Oui;06/07/2024;05/07/2025;06/07/2024;05/07/2025;Saou;26400;FR;Non;Non;Adhésion à jour;;;;
Oui;26/09/2023;25/09/2025;26/09/2024;25/09/2025;Grignan;26230;FR;Non;Oui;Adhésion à jour;;;;
Non;10/10/2023;09/10/2024;;;Nyons;26110;FR;Non;Non;Adhésion expirée;;;;
Oui;09/03/2024;08/03/2025;09/03/2024;08/03/2025;Pierrelatte;26700;FR;Non;Non;Adhésion à jour;;;;
Oui;14/01/2024;13/01/2025;14/01/2024;13/01/2025;Grignan;26230;FR;Non;Non;Adhésion à jour;;;;
Oui;13/04/2022;12/04/2025;13/04/2024;12/04/2025;Die;26150;FR;Non;Non;Adhésion à jour;;;;
Oui;06/02/2023;05/02/2025;06/02/2024;05/02/2025;Montboucher-sur-Jabron;26740;FR;Non;Non;Adhésion à jour;;;;
Oui;27/04/2024;26/04/2025;27/04/2024;26/04/2025;Saint-Restitut;26130;FR;Non;Non;Adhésion à jour;;;;
Oui;09/06/2024;08/06/2025;09/06/2024;08/06/2025;Montélimar;26200;FR;Non;Non;Adhésion à jour;;;;
Oui;07/10/2024;06/10/2025;07/10/2024;06/10/2025;Die;26150;FR;Non;Non;Première adhésion de moins d'un mois;;;;
Oui;04/07/2024;03/07/2025;04/07/2024;03/07/2025;Châteaudouble;26120;FR;Non;Non;Adhésion à jour;;;;
Oui;11/03/2024;10/03/2025;11/03/2024;10/03/2025;Saint-Marcel-lès-Valence;26320;FR;Non;Non;Adhésion à jour;;;;
Oui;04/07/2024;03/07/2025;04/07/2024;03/07/2025;Livron-sur-Drôme;26250;FR;Non;Non;Adhésion à jour;;;;
Oui;27/09/2024;26/09/2025;27/09/2024;26/09/2025;Saint-Benoit-en-Diois;26340;FR;Non;Non;Première adhésion de moins d'un mois;;;;
Non;19/03/2022;18/03/2023;;;Dieulefit;26220;FR;Non;Non;Adhésion expirée;;;;
Non;05/10/2023;04/10/2024;;;Montmaur-en-Diois;26150;FR;Non;Non;Adhésion expirée;;;;
Oui;28/06/2024;27/06/2025;28/06/2024;27/06/2025;Saint-Paul-Trois-Châteaux;26130;FR;Non;Non;Adhésion à jour;;;;
Oui;13/06/2024;12/06/2026;13/06/2024;12/06/2025;Saint-Paul-Trois-Châteaux;26130;FR;Non;Non;Adhésion à jour;;;;
Oui;13/10/2024;12/10/2025;13/10/2024;12/10/2025;Valence;26000;FR;Non;Non;Première adhésion de moins d'un mois;;;;
Non;26/09/2023;25/09/2024;;;Saint-Restitut;26130;FR;Non;Non;Adhésion expirée;;;;
